 Cocktail , Lundi , Mardi , Mercredi , Jeudi , Vendredi , Samedi , Dimanche , TOTAL , Prix_Vente , TOTAL 
,,,,,,,,,,
Pina Colada,,,,,,,,0,"$15,00","$0,00"
Mojito,,,,,,,,0,"$18,00","$0,00"
Cosmopolitan,,,,,,,,0,"$10,00","$0,00"
Old Fashioned,,,,,,,,0,"$14,00","$0,00"
Mai Tai,,,,,,,,0,"$13,00","$0,00"
,,,,,,,,0,"$12,00","$0,00"
,,,,,,,,0,"$14,00","$0,00"
,,,,,,,,0,"$21,00","$0,00"
,,,,,,,,0,"$14,00","$0,00"
,,,,,,,,0,"$13,00","$0,00"
Total entrées,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",,-,"$0,00"
,,,,,,,,,,
,,,,,,,,,,
Entrée,Lundi, Mardi ,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,,Prix Vente,TOTAL
,,,,,,,,,,
Caviar Blinis,,,,,,,,0,"$15,00","$0,00"
Foie Gras Figues,,,,,,,,0,"$18,00","$0,00"
Fruits de Mer,,,,,,,,0,"$10,00","$0,00"
Carpaccio,,,,,,,,0,"$14,00","$0,00"
Total entrées,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",,,"$0,00"
,,,,,,,,,,
,,,,,,,,,,
 Plat , Lundi , Mardi , Mercredi , Jeudi , Vendredi , Samedi , Dimanche , TOTAL , Prix_Vente , TOTAL 
,,,,,,,,,,
Salade de Homard,,,,,,,,0,"$13,00","$0,00"
Turbot Roti,,,,,,,,0,"$12,00","$0,00"
Risotto aux Truffes,,,,,,,,0,"$14,00","$0,00"
Filet Migon,,,,,,,,0,"$21,00","$0,00"
Canard à l'Orange,,,,,,,,0,"$21,00","$0,00"
Total entrées,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",,-,"$0,00"
,,,,,,,,,,
,,,,,,,,,,
Dessert,Lundi, Mardi ,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,,Prix Vente,TOTAL
,,,,,,,,,,
Fondant Choco,,,,,,,,0,"$14,00","$0,00"
Paris Brest,,,,,,,,0,"$21,00","$0,00"
Pavlova,,,,,,,,0,"$14,00","$0,00"
Tarte au Citron,,,,,,,,0,"$13,00","$0,00"
Total entrées,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",,,"$0,00"
,,,,,,,,,,
,,,,,,,,,,
Boisson,Lundi, Mardi ,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,,Prix Vente,TOTAL
,,,,,,,,,,
,,,,,,,,0,"$14,00","$0,00"
,,,,,,,,0,"$21,00","$0,00"
,,,,,,,,0,"$14,00","$0,00"
,,,,,,,,0,"$13,00","$0,00"
Total entrées,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",,,"$0,00"
